"Rank","Name","Symbol","marketcap","price (USD)","country"
"134","CI Games","CI7.F","74108463","0.388053","Poland"
"135","Nihon Falcom","3723.T","74097114","7.2081","Japan"
"136","The9","NCTY","73333264","8.16","China"
"137","Aiming Inc","3911.T","70351898","1.50645","Japan"
"138","Gamesparcs","6542.TWO","69496940","1.65467","Taiwan"
"139","Kayak Inc","3904.T","67885825","4.21426","Japan"
"140","Infinities Tech (Jiu Zun Digital)","1961.HK","65819485","0.0896356","China"
"141","Artifex Mundi","ART.WA","65009278","5.46434","Poland"
"142","Fire Rock","1909.HK","64906395","0.0169027","China"
"143","KLab","3656.T","62737140","1.55095","Japan"
"144","Focus Entertainment","ALFOC.PA","62064697","9.79802","France"
"145","Imagineer","4644.T","60671260","6.3055","Japan"
"146","Blue Hat","BHAT","58398300","1","China"
"147","Asiasoft","AS.BK","54491474","0.109147","Thailand"
"148","ATARI","ALATA.PA","51454345","0.117179","France"
"149","Feiyu Technology International Company","1022.HK","49052197","0.0280431","China"
"150","coly","4175.T","48829078","8.87346","Japan"
"151","CAVE Interactive","3760.T","47657615","7.91366","Japan"
"152","East Side Games","EAGR.TO","47006704","0.576512","Canada"
"153","CROOZ","2138.T","45457037","4.5003","Japan"
"154","Gala Incorporated","4777.T","44549754","1.74164","Japan"
"155","Starbreeze","STAR-B.ST","43823893","0.0293614","Sweden"
"156","Aeria","3758.T","43322332","1.94504","Japan"
"157","Astro Corporation","3064.TWO","39032511","2.99985","Taiwan"
"158","BoomBit","BBT.WA","38886291","2.87196","Poland"
"159","enish","3667.T","38452947","1.72257","Japan"
"160","TENDA","4198.T","36818585","5.61901","Japan"
"161","Fun Yours Technology","6482.TWO","34697847","1.59951","Taiwan"
"162","5th Planet Games","5PG.OL","34543611","0.128712","Denmark"
"163","Akili","AKLI","34096536","0.4331","United States"
"164","Forever Entertainment","8FE.SG","33637724","1.12819","Poland"
"165","Tose Software","4728.T","33195222","4.37952","Japan"
"166","Nippon Ichi Software","3851.T","32520028","6.45169","Japan"
"167","Snail Inc","SNAL","32032942","0.8715","China"
"168","Mobile Factory","3912.T","31981813","4.23969","Japan"
"169","Games Operators","GOP.WA","31587272","5.74391","Poland"
"170","geechs","7060.T","31176037","3.01927","Japan"
"171","PopReach","INIK.V","30587444","0.105815","Canada"
"172","Don't Nod Entertainment","ALDNE.PA","28010763","2.14737","France"
"173","tinyBuild","8Z3.F","26788803","0.0664923","United States"
"174","Appirits","4174.T","26768719","6.48348","Japan"
"175","Trophy Games","TGAMES.CO","26599693","0.98612","Denmark"
"176","Ourgame International","6899.HK","26222499","0.0243297","China"
"177","iCandy Interactive","ICI.AX","23457246","0.0174424","Australia"
"178","All in! Games","ALG.WA","23448306","0.31007","Poland"
"179","MAG Interactive","MAGI.ST","23099127","0.87184","Sweden"
"180","Big Cheese Studio","BCS.WA","22384867","5.41351","Poland"
"181","Yuke's","4334.T","22007273","2.61882","Japan"
"182","FingerTango","6860.HK","19649038","0.0102441","China"
"183","NJ Holdings","9421.T","19210271","3.62948","Japan"
"184","Linekong Interactive","8267.HK","19083396","0.0518606","China"
"185","InterServ International","6169.TWO","18638580","0.796691","Taiwan"
"186","Digital Hollywood Interactive","2022.HK","18439317","0.00921966","China"
"187","Silicon Studio","3907.T","18395257","6.40084","Japan"
"188","CyberStep","3810.T","18258370","1.47467","Japan"
"189","WonderPlanet","4199.T","18236966","7.16361","Japan"
